id,category,headline,claim,verdict,verdict_class,credibility_score,bias_rating,fact_checker,verification_date,sources,detailed_analysis,tags
NEWS-001,Science & Health,James Webb Space Telescope detects definitive chemical biosignatures of intelligent life on K2-18b,The James Webb Space Telescope confirmed definitive proof of intelligent alien civilization on exoplanet K2-18b.,Likely Misleading,badge-fake,28,Sensationalist,Reuters Fact Check,2024-04-18,NASA Webb Mission Updates — Official statement clarifying dimethyl sulfide detection is unconfirmed | Nature Astronomy — Discussion of spectroscopic uncertainty in K2-18b observations | Astrophysical Journal Letters — Peer-reviewed planetary atmospheric models,"While JWST did observe methane and carbon dioxide with potential hints of dimethyl sulfide (DMS) on K2-18b, NASA scientists explicitly stated this does not constitute definitive proof of alien life or intelligent civilization. Further observations are required.","space, jwst, exoplanet, astronomy, nasa"
NEWS-002,Science & Health,WHO declares mpox public health emergency of international concern,World Health Organization declared the mpox surge in Africa a Public Health Emergency of International Concern (PHEIC).,Verified & Accurate,badge-credible,96,Neutral,Associated Press,2024-08-14,World Health Organization (WHO) — Official Director-General Declaration | Africa CDC — Epidemic surveillance weekly bulletin | The Lancet Infectious Diseases — Clade Ib transmission data,WHO Director-General Tedros Adhanom Ghebreyesus officially determined that the upsurge of mpox in the Democratic Republic of the Congo and neighboring countries constituted a PHEIC under the International Health Regulations.,"who, health, mpox, epidemiology, global-health"
NEWS-003,Science & Health,Drinking boiled lemon water with baking soda cures Stage 4 cancer in 48 hours,A simple homemade concoction of lemon water and baking soda eliminates advanced cancer cells in two days.,False & Fabricated,badge-fake,5,Dangerous Medical Misinformation,FactCheck.org,2024-01-20,American Cancer Society — Debunking alkaline diet cancer cure myths | National Cancer Institute — Clinical oncology evidence repository | Memorial Sloan Kettering Cancer Center — Integrative medicine fact sheets,There is zero clinical or scientific evidence that lemon juice or sodium bicarbonate can cure cancer. Such viral hoaxes are medically hazardous as they can cause patients to abandon life-saving conventional treatments.,"cancer-cure, hoax, medical-myth, health-misinformation"
NEWS-004,Science & Health,FDA approves first CRISPR gene-editing therapy for sickle cell disease,"The US Food and Drug Administration approved Casgevy, the first medicine utilizing CRISPR/Cas9 genome editing for sickle cell disease.",Verified & Accurate,badge-credible,98,Neutral,Reuters Fact Check,2023-12-08,FDA News Release — FDA Approves First Gene Therapies to Treat Patients with Sickle Cell Disease | New England Journal of Medicine — CRISPR-Cas9 Gene Editing for Sickle Cell Disease Phase 3 Trial | Vertex Pharmaceuticals & CRISPR Therapeutics official disclosures,The landmark approval was granted for Casgevy (exagamglogene autotemcel) developed by Vertex Pharmaceuticals and CRISPR Therapeutics for patients 12 years and older with recurrent vaso-occlusive crises.,"fda, crispr, genetics, sickle-cell, biotech"
NEWS-005,Science & Health,Dental floss contains lethal quantities of PFAS chemicals that poison blood within minutes,"Routine use of dental floss causes acute, lethal PFAS poison levels in the human bloodstream.",Likely Misleading,badge-fake,32,Sensationalist Fearmongering,Snopes,2024-05-11,American Dental Association (ADA) — Statement on PTFE Floss and Fluorinated Compounds | Silent Spring Institute — Exposure studies on consumer products | EPA Guidelines on Per- and Polyfluoroalkyl Substances,"While some Teflon-coated flosses contain trace PTFE (a type of fluoropolymer), rigorous peer-reviewed toxicological assessments found no evidence of acute toxicity or lethal blood concentration spikes from daily flossing.","pfas, dental-floss, toxicology, health"
NEWS-006,Technology & AI,Deepfake audio of CEO results in $25 million wire transfer fraud at multinational firm,Scammers used AI deepfake voice and video technology during a video conference to trick a finance employee in Hong Kong into transferring $25M.,Verified & Accurate,badge-credible,94,Neutral,BBC News,2024-02-05,Hong Kong Police Force Cyber Security and Technology Crime Bureau Briefing | South China Morning Post — Investigative report on multinational deepfake heist | Reuters Technology Investigation,Hong Kong police confirmed that cybercriminals deployed multi-person deepfake avatars and synthetic voice clones replicating the company's UK chief financial officer and colleagues during an elaborate multi-party video call.,"deepfake, cybersecurity, fraud, ai, crime"
NEWS-007,Technology & AI,OpenAI announces GPT-5 will gain sentient consciousness and replace all world governments by 2026,OpenAI released a formal manifesto stating GPT-5 achieves sentience and will govern world states.,False & Fabricated,badge-fake,2,Clickbait Satire / Parody,PolitiFact,2024-06-12,OpenAI Official Blog & Press Releases — No such announcement exists | Associated Press Fact Check Archive | Snopes Digital Culture Verification,The claim originated from a satirical social media post spoofing tech conference announcements. OpenAI executives have repeatedly clarified that AI models are statistical prediction engines without consciousness or political authority.,"openai, gpt5, agi, satire, ai-hoax"
NEWS-008,Technology & AI,European Union passes the world's first comprehensive AI Act regulating high-risk artificial intelligence,The European Parliament approved the EU Artificial Intelligence Act establishing risk-based regulations for AI systems.,Verified & Accurate,badge-credible,97,Neutral,AP News,2024-03-13,European Parliament Legislative Observatory — Artificial Intelligence Act (2021/0106(COD)) | Council of the European Union Press Release | Financial Times — Regulatory analysis of global tech implications,"The EU AI Act was overwhelmingly approved with 523 votes in favor, banning unacceptable risk systems like social scoring and imposing strict governance rules on high-risk AI and general-purpose foundation models.","eu-ai-act, legislation, tech-policy, regulation"
NEWS-009,Technology & AI,Viral photo shows Pope Francis wearing a luxury Balenciaga white puffer jacket at the Vatican,A real photograph captured Pope Francis walking through Rome in a designer white Balenciaga puffer coat.,False & Fabricated,badge-fake,8,Synthetic Media Hoax,Snopes,2023-03-27,Vatican Press Office Official Schedule & Imagery | Midjourney Prompt Creator Interview via Buzzfeed News | PolitiFact Verification Report,The viral image was generated using Midjourney v5 by an artist in Chicago and was not a real photograph. Key visual artifacts such as distorted hand geometry and blurred crucifix details confirm it was AI-generated.,"pope-balenciaga, midjourney, deepfake-image, vatican"
NEWS-010,Technology & AI,Quantum computer breaks standard 2048-bit RSA encryption in 30 seconds,A functional quantum computer successfully decrypted military-grade RSA-2048 encryption keys in under a minute.,Likely Misleading,badge-fake,25,Sensationalist Tech Hype,IEEE Spectrum Fact Check,2024-07-02,NIST Post-Quantum Cryptography Standardization Report | IBM Quantum Systems Research Documentation | Schneier on Security Cryptographic Review,"Current noisy intermediate-scale quantum (NISQ) computers possess far too few fault-tolerant logical qubits to execute Shor's algorithm on 2048-bit keys. While research advances, breaking RSA-2048 remains theoretically estimated to require thousands of error-corrected qubits.","quantum-computing, rsa, cryptography, nist, cybersecurity"
